order	smoking	gender	race	before	after	salary	reduction	parking
87	Nonsmoker	Female	Caucasian	73.5	74.8	643.8	551	2
88	Smoker	Male	Hispanic	72.2	66.6	724.52	89	1
89	Nonsmoker	Female	AfricanAmer	74.4	75.3	745.57	121	2
90	Smoker	Male	Caucasian	75.2	72.5	842.05	319	1
91	Nonsmoker	Male	AfricanAmer	73.6	74.2	880.47	424	3
92	Nonsmoker	Female	Caucasian	73.1	72.6	1016.21	79	2
93	Nonsmoker	Male	AfricanAmer	73.9	73.3	726.13	372	5
94	Nonsmoker	Male	Caucasian	74.9	74.4	780.21	195	1
95	Nonsmoker	Female	Caucasian	72.5	75	704.08	324	1
96	Nonsmoker	Female	Other	75	73.4	785.89	532	3
97	Nonsmoker	Male	AfricanAmer	73.8	75.2	662.98	91	2
98	Nonsmoker	Male	Caucasian	73.6	75.2	621.3	32	1
99	Smoker	Male	Asian	74.8	71.3	521.17	94	2
100	Nonsmoker	Female	Caucasian	73.8	74.3	714.58	95	3
101	Nonsmoker	Male	Caucasian	75.8	74.6	728.94	99	5
102	Smoker	Male	Caucasian	75.5	71.1	812.26	275	1
103	Smoker	Male	Caucasian	72.4	71.7	924.78	203	1
104	Nonsmoker	Female	AfricanAmer	73.6	74.3	1001.31	131	3
105	Nonsmoker	Male	Hispanic	73.3	74.3	724.99	116	2
106	Nonsmoker	Male	Hispanic	72.9	73.3	822.35	66	1
107	Nonsmoker	Male	Hispanic	75.7	73.1	653.58	574	1
108	Nonsmoker	Female	Asian	72.6	73.3	642.28	87	1
109	Nonsmoker	Male	AfricanAmer	73.8	73.6	730.12	149	1
110	Smoker	Female	AfricanAmer	72.8	70.6	708.3	538	1
111	Nonsmoker	Male	Caucasian	73.9	71.9	629.17	419	2
112	Nonsmoker	Male	Caucasian	73.2	75.1	790.33	33	1
113	Nonsmoker	Male	AfricanAmer	75.5	73.8	788.05	213	1
114	Nonsmoker	Female	Caucasian	72.4	74.5	849.25	44	1
115	Nonsmoker	Male	AfricanAmer	72.8	74.5	1036.06	814	1
116	Nonsmoker	Male	Hispanic	74.8	75.2	1149.92	131	2
117	Smoker	Male	Caucasian	75.6	72.4	854.31	100	4
118	Nonsmoker	Female	Caucasian	74.1	74.2	768.94	688	4
119	Smoker	Male	Caucasian	75.3	69.6	666.74	83	1
120	Nonsmoker	Female	Hispanic	75.1	73.2	639.72	185	1
121	Smoker	Male	AfricanAmer	74.1	70.3	744.38	60	2
122	Nonsmoker	Female	Caucasian	74.6	74.1	584.08	6	1
123	Nonsmoker	Male	Caucasian	74.1	72.5	712	60	2
124	Nonsmoker	Female	AfricanAmer	73.9	72.7	789.76	282	1
125	Smoker	Male	Hispanic	73	67.3	719.06	31	1
126	Nonsmoker	Male	AfricanAmer	75.3	73.8	903.34	82	2
127	Nonsmoker	Male	Caucasian	73.5	75.3	1044.98	65	1
128	Nonsmoker	Male	Asian	72.3	74.8	1027.36	26	2
129	Nonsmoker	Female	AfricanAmer	73.5	73.7	855.36	117	1
130	Nonsmoker	Male	Caucasian	72.9	76.2	796.51	205	1
131	Smoker	Male	Caucasian	72.6	70.3	771.74	99	3
132	Nonsmoker	Male	Caucasian	76.3	74.2	780.27	401	1
133	Nonsmoker	Male	AfricanAmer	73	75.2	808.65	8	2
134	Nonsmoker	Female	Caucasian	74.7	74.7	632.05	469	4
135	Smoker	Female	Hispanic	74.5	67.5	681.58	116	4
136	Nonsmoker	Male	Caucasian	71.4	74.6	823.38	298	4
137	Nonsmoker	Male	Hispanic	74.4	73.9	754.55	115	2
138	Nonsmoker	Male	Asian	72.1	73.1	938.47	721	1
139	Nonsmoker	Male	Caucasian	73.1	76.4	1072.65	135	1
140	Nonsmoker	Male	AfricanAmer	73.7	73.3	1021.69	202	1
141	Nonsmoker	Female	Caucasian	73	73.3	785.75	642	1
142	Nonsmoker	Female	Hispanic	73.8	74.4	882.78	95	1
143	Nonsmoker	Female	Caucasian	73.6	72	762.43	262	2
144	Nonsmoker	Male	Hispanic	73.1	74.2	863.78	564	1
145	Nonsmoker	Male	Caucasian	73.4	73.9	745.97	258	3
146	Nonsmoker	Female	Hispanic	74	72.4	809.26	41	1
147	Nonsmoker	Female	AfricanAmer	75.8	72.9	668.26	77	3
148	Smoker	Female	Asian	74.2	67.8	780.61	429	2
149	Nonsmoker	Female	AfricanAmer	75.4	73.3	749.43	557	1
150	Nonsmoker	Male	Caucasian	75.1	72.9	889.55	89	1
151	Nonsmoker	Female	Caucasian	74.6	74.9	1025.09	59	1
152	Smoker	Male	Caucasian	75.5	69.8	1156.16	370	1
153	Nonsmoker	Male	AfricanAmer	74.9	74.3	777.93	202	2
154	Nonsmoker	Male	AfricanAmer	73.6	74.3	835.96	111	2
155	Nonsmoker	Female	Caucasian	74.5	72.6	668.69	598	3
156	Nonsmoker	Female	Caucasian	75.7	74.6	870.52	55	1
157	Nonsmoker	Male	AfricanAmer	72.6	73.8	827.18	750	1
158	Smoker	Male	Caucasian	74.1	70.8	689.23	83	2
159	Nonsmoker	Female	AfricanAmer	73.6	74.2	662.17	257	1
160	Smoker	Female	Caucasian	75	70.3	820.52	303	1
161	Nonsmoker	Female	AfricanAmer	73.1	74.8	780.51	79	2
162	Nonsmoker	Male	Hispanic	73.6	74.3	980.09	156	4
163	Nonsmoker	Male	AfricanAmer	73.6	75.1	1084.21	166	6
164	Smoker	Male	Hispanic	73.5	72.1	1073.5	9	1
165	Nonsmoker	Male	AfricanAmer	73.7	72.5	908.11	409	3
166	Nonsmoker	Male	Hispanic	73.1	73.4	793.42	424	2
167	Nonsmoker	Male	Hispanic	74.5	74.9	804.78	205	1
168	Nonsmoker	Male	AfricanAmer	73.7	74.1	790.82	47	2
